,Network,Name,Slat,Slon,Selv,Quake#,Mag,Qlat,Qlon,Qdep,OrgT,rhyp,Parr,Sarr
146,HT,IGT,39.5315,20.3299,262.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,255.333429904,2020-09-18T22:17:54.729116Z,2020-09-18T22:18:10.940762Z
147,HL,IMMV,35.4606,23.9811,230.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,339.295432536,2020-03-09T22:20:24.956418Z,2020-03-09T22:20:46.498985Z
148,HL,IMMV,35.4606,23.9811,230.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,331.162894815,2020-04-06T02:32:16.565539Z,2020-04-06T02:32:37.591754Z
149,HL,IMMV,35.4606,23.9811,230.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,357.529555317,2020-08-08T08:15:05.250723Z,2020-08-08T08:15:27.951012Z
150,HL,IMMV,35.4606,23.9811,230.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,358.59914428,2020-08-09T06:12:13.520499Z,2020-08-09T06:12:36.288699Z
151,HL,IMMV,35.4606,23.9811,230.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,322.197166547,2020-09-18T22:18:05.342407Z,2020-09-18T22:18:25.799370Z
152,HL,ITM,37.17872,21.92522,423.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,74.0702637571,2020-03-09T22:19:42.857185Z,2020-03-09T22:19:47.560059Z
153,HL,ITM,37.17872,21.92522,423.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,67.7431037965,2020-04-06T02:31:34.752874Z,2020-04-06T02:31:39.054023Z
154,HL,ITM,37.17872,21.92522,423.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,93.5288964082,2020-08-08T08:14:23.345857Z,2020-08-08T08:14:29.284199Z
155,HL,ITM,37.17872,21.92522,423.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,93.3362103901,2020-08-09T06:11:31.415271Z,2020-08-09T06:11:37.341380Z
156,HL,ITM,37.17872,21.92522,423.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,62.6459066807,2020-09-18T22:17:24.143795Z,2020-09-18T22:17:28.121313Z
157,HL,JAN,39.65616,20.84874,526.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,223.728986981,2020-03-09T22:20:06.612538Z,2020-03-09T22:20:20.817553Z
158,HL,JAN,39.65616,20.84874,526.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,224.420751481,2020-04-06T02:31:59.622342Z,2020-04-06T02:32:13.871278Z
159,HL,JAN,39.65616,20.84874,526.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,201.582234537,2020-08-08T08:14:40.497180Z,2020-08-08T08:14:53.296052Z
160,HL,JAN,39.65616,20.84874,526.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,214.222372772,2020-08-09T06:11:50.603551Z,2020-08-09T06:12:04.204972Z
161,HL,JAN,39.65616,20.84874,526.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,258.564192123,2020-09-18T22:17:55.241935Z,2020-09-18T22:18:11.658709Z
162,HA,KALE,38.3911,22.1398,760.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,103.087865568,2020-03-09T22:19:47.463153Z,2020-03-09T22:19:54.008415Z
163,HA,KALE,38.3911,22.1398,760.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,91.5890323372,2020-04-06T02:31:38.537942Z,2020-04-06T02:31:44.353118Z
164,HA,KALE,38.3911,22.1398,760.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,89.9418857463,2020-08-08T08:14:22.776490Z,2020-08-08T08:14:28.487086Z
